dstport,protocol,tag
19393,icmp,monitoring
57149,icmp,sv_P2
5158,icmp,SV_P3
43152,tcp,SV_P3
31526,icmp,SV_P3
40704,icmp,web
15379,tcp,web
45832,tcp,sv_P4
34819,udp,vpn
29102,icmp,vpn
34955,tcp,sv_P5
56302,tcp,sv_P1
28297,icmp,db
14630,udp,web
8463,tcp,db
34483,icmp,sv_P2
44892,tcp,vpn
64462,icmp,SV_P3
56724,udp,web
42750,icmp,sv_P1
51173,icmp,sv_P2
3364,udp,SV_P3
13753,icmp,SV_P3
3402,icmp,vpn
53193,udp,sv_P4
58607,icmp,web
48175,udp,monitoring
62154,tcp,db
27026,icmp,SV_P3
64587,tcp,web
12560,udp,monitoring
51559,tcp,SV_P3
9244,icmp,SV_P3
18486,udp,email
221,tcp,monitoring
35486,tcp,sv_P2
60820,udp,sv_P1
104,tcp,sv_P4
50597,tcp,web
27047,tcp,sv_P2
47121,tcp,email
57200,tcp,email
19595,icmp,email
1564,icmp,vpn
33678,tcp,vpn
33990,udp,sv_P1
60895,icmp,db
1055,icmp,sv_P4
1067,tcp,sv_P4
45732,udp,email
28589,tcp,db
16895,icmp,sv_P2
53533,icmp,sv_P1
36428,tcp,email
30261,tcp,vpn
32328,tcp,sv_P1
2145,udp,email
57305,tcp,email
25133,udp,db
43750,icmp,SV_P3
23441,icmp,sv_P4
22891,udp,monitoring
38166,tcp,sv_P5
33564,tcp,email
36576,icmp,sv_P1
13716,icmp,vpn
63633,tcp,sv_P1
36048,udp,sv_P2
54394,icmp,monitoring
2435,udp,db
17095,udp,sv_P5
14228,tcp,sv_P2
31729,udp,sv_P2
17117,tcp,SV_P3
57839,tcp,web
44828,tcp,sv_P5
50439,tcp,sv_P4
17178,udp,vpn
14071,icmp,email
29918,tcp,sv_P1
60197,udp,sv_P5
38546,udp,sv_P5
60749,udp,vpn
30969,tcp,sv_P2
36252,icmp,vpn
59028,udp,monitoring
22798,tcp,web
38819,tcp,sv_P2
17473,tcp,sv_P2
64952,udp,monitoring
56091,udp,db
64190,tcp,sv_P1
56993,udp,db
6270,icmp,sv_P1
59347,tcp,db
43699,udp,web
10952,tcp,monitoring
59732,tcp,web
